Car_name,Year,Distance,Fuel_type,Drive,Price
Honda City 1.5L,2015,110184,PETROL,AUTOMATIC,540000
Honda WR-V 1.2L,2019,64337,PETROL,MANUAL,764000
Hyundai VENUE SX,2022,48908,PETROL,MANUAL,917000
Honda City 1.5L,2016,83615,PETROL,MANUAL,578000
Maruti Vitara Brezza,2017,53069,DIESEL,MANUAL,678000
Renault Kwid RXL,2020,32402,PETROL,MANUAL,415000
Renault Kwid RXT,2019,73117,PETROL,MANUAL,351000
Maruti Swift VXI,2015,71888,PETROL,MANUAL,399000
Tata Tiago XZ,2017,54652,PETROL,MANUAL,436000
Maruti Swift VXI,2017,10824,PETROL,MANUAL,523000
Volkswagen Polo COMFORTLINE,2016,87125,PETROL,MANUAL,415000
Maruti Dzire ZXI,2018,83011,PETROL,MANUAL,579000
Datsun Redi Go,2020,31958,PETROL,MANUAL,324000
Hyundai Creta SX,2018,51945,DIESEL,MANUAL,1065000
Skoda Rapid AMBITION,2019,39510,PETROL,MANUAL,774000
Maruti Swift Dzire,2016,34756,PETROL,MANUAL,535000
Maruti Dzire VXI,2020,55605,PETROL,MANUAL,678000
Tata NEXON XZA,2019,61263,PETROL,AUTOMATIC,760000
Volkswagen Polo COMFORTLINE,2018,101656,PETROL,MANUAL,532000
Ford Ecosport TITANIUM,2020,66213,DIESEL,MANUAL,852000
Maruti Baleno DELTA,2018,70189,PETROL,AUTOMATIC,576000
Hyundai VENUE SX,2021,22683,PETROL,MANUAL,963000
KIA SONET GTX,2023,6825,DIESEL,MANUAL,1420000
Maruti New Wagon-R,2019,57936,PETROL,MANUAL,513000
Hyundai NEW SANTRO,2020,29027,PETROL,MANUAL,497000
Maruti IGNIS ZETA,2017,41186,PETROL,AUTOMATIC,532000
Maruti Alto 800,2016,71670,PETROL,MANUAL,286000
Honda WR-V 1.5L,2017,71092,DIESEL,MANUAL,676000
Maruti Swift Dzire,2015,27571,PETROL,MANUAL,401999
KIA SONET HTE,2022,16864,DIESEL,MANUAL,926000
Maruti Ertiga VXI,2014,65000,PETROL,MANUAL,557000
Hyundai GRAND I10,2021,10826,PETROL,AUTOMATIC,774000
Honda Amaze 1.2L,2019,37264,PETROL,MANUAL,599000
Maruti Swift Dzire,2013,106215,PETROL,MANUAL,455000
Hyundai GRAND I10,2021,15700,PETROL,AUTOMATIC,668000
Maruti Swift VXI,2022,27924,PETROL,MANUAL,660000
Hyundai Eon ERA,2014,69639,PETROL,MANUAL,223000
Maruti Swift VXI,2014,32386,PETROL,MANUAL,381000
Maruti Swift VXI,2021,9454,PETROL,MANUAL,682000
Maruti Dzire VXI,2018,83337,PETROL,AUTOMATIC,597000
Maruti Celerio ZXI,2015,75112,PETROL,AUTOMATIC,419000
Hyundai VENUE SX,2021,30626,PETROL,MANUAL,971000
Nissan MAGNITE XV,2021,53265,PETROL,MANUAL,698000
Tata NEXON XM,2020,45935,PETROL,MANUAL,761000
Maruti Vitara Brezza,2021,47963,PETROL,MANUAL,836000
Tata NEXON XZ,2021,8119,PETROL,MANUAL,928999
Tata TIGOR XM,2021,39090,PETROL,MANUAL,606000
Honda Amaze 1.2L,2017,78868,PETROL,MANUAL,438999
Maruti Wagon R,2014,96964,PETROL,MANUAL,354000
Maruti Swift VDI,2014,82386,DIESEL,MANUAL,399000
Maruti Celerio VXI,2014,50026,PETROL,MANUAL,346000
Maruti Celerio VXI,2022,48731,CNG,MANUAL,692000
Maruti Vitara Brezza,2017,89916,DIESEL,MANUAL,769000
Maruti Baleno ZETA,2021,21827,PETROL,MANUAL,749000
Maruti Swift Dzire,2016,83828,DIESEL,MANUAL,623000
Hyundai AURA SX,2020,9017,PETROL,MANUAL,728000
Tata ALTROZ XE,2021,9278,PETROL,MANUAL,609000
Maruti IGNIS ZETA,2022,19562,PETROL,MANUAL,660000
Hyundai Grand i10,2015,55222,PETROL,MANUAL,497000
Hyundai Xcent S,2014,24478,PETROL,MANUAL,353000
Hyundai Creta SX,2016,45445,PETROL,AUTOMATIC,914000
Maruti Alto 800,2013,81062,PETROL,MANUAL,204999
Maruti Alto LXI,2022,7278,PETROL,MANUAL,391000
Maruti Alto VXI,2020,17009,PETROL,MANUAL,397000
Maruti IGNIS ALPHA,2022,22309,PETROL,AUTOMATIC,743000
Tata PUNCH CREATIVE,2021,37860,PETROL,MANUAL,816000
Maruti Swift Dzire,2016,70663,PETROL,MANUAL,569000
Renault Duster 85,2015,91542,DIESEL,MANUAL,463000
Hyundai i10 MAGNA,2013,69725,PETROL,MANUAL,274000
Hyundai Eon MAGNA,2016,13699,PETROL,MANUAL,254999
Hyundai Elite i20,2015,59786,CNG,MANUAL,554000
Tata NEXON KRAZ,2019,63271,DIESEL,MANUAL,687000
Nissan MAGNITE XL,2022,41155,PETROL,MANUAL,693000
Hyundai Creta SX,2017,91997,PETROL,MANUAL,936999
Maruti Baleno DELTA,2021,28154,PETROL,MANUAL,694000
Skoda Rapid 1.5,2016,55121,DIESEL,AUTOMATIC,689000
Hyundai GRAND I10,2020,17472,PETROL,MANUAL,707000
Maruti Alto K10,2018,57031,PETROL,MANUAL,343000
Datsun Redi Go,2020,16537,PETROL,AUTOMATIC,474000
Honda City 1.5L,2018,100483,PETROL,AUTOMATIC,858000
Tata NEXON XZA,2022,17969,PETROL,AUTOMATIC,1072000
Maruti Baleno DELTA,2016,39920,PETROL,MANUAL,561000
Volkswagen Polo TRENDLINE,2016,81433,PETROL,MANUAL,428000
Renault Kwid RXL,2018,18149,PETROL,MANUAL,308000
Maruti Swift Dzire,2012,110904,DIESEL,MANUAL,447000
Tata NEXON XZA,2020,59046,PETROL,AUTOMATIC,1090000
Maruti Wagon R,2012,63662,PETROL,MANUAL,280000
Maruti Dzire ZXI,2022,42000,PETROL,AUTOMATIC,801000
Maruti Swift VXI,2016,66545,PETROL,MANUAL,509000
Tata Tiago XT,2021,52679,PETROL,MANUAL,602000
Maruti Baleno ZETA,2022,34474,PETROL,MANUAL,819999
Ford Ecosport TITANIUM,2019,64106,PETROL,MANUAL,799000
Honda Amaze 1.5L,2019,54392,DIESEL,AUTOMATIC,811000
Maruti Dzire VXI,2017,99781,PETROL,MANUAL,654000
Mahindra XUV300 W8,2022,11911,PETROL,AUTOMATIC,1325000
Maruti Alto LXI,2021,6820,PETROL,MANUAL,376000
Maruti S PRESSO,2020,34771,PETROL,AUTOMATIC,463000
Tata Tiago XZ,2017,79584,PETROL,MANUAL,444000
Honda City 1.5L,2015,65051,PETROL,MANUAL,558000
Maruti Dzire VXI,2022,16023,PETROL,AUTOMATIC,835000
Hyundai NEW SANTRO,2018,22539,PETROL,MANUAL,441000
Maruti Wagon R,2016,75999,PETROL,MANUAL,367000
Jeep Compass LONGITUDE,2018,42770,PETROL,AUTOMATIC,1483000
Maruti Celerio ZXI,2018,70785,PETROL,MANUAL,515000
Hyundai Grand i10,2020,22924,PETROL,MANUAL,602000
Maruti Vitara Brezza,2020,54344,PETROL,MANUAL,802000
Maruti Ciaz DELTA,2017,105756,PETROL,MANUAL,591000
Maruti Ciaz VXI,2016,79730,PETROL,MANUAL,478000
Renault Kwid RXT,2022,12692,PETROL,MANUAL,540000
Tata ALTROZ XZ,2022,19179,PETROL,MANUAL,824000
Maruti New Wagon-R,2021,50418,CNG,MANUAL,629000
Hyundai Eon ERA,2016,35023,PETROL,MANUAL,343000
Nissan MAGNITE XE,2021,30455,PETROL,MANUAL,578000
Ford Ecosport TITANIUM,2020,31546,PETROL,AUTOMATIC,917000
Maruti Wagon R,2012,71101,PETROL,MANUAL,291000
Hyundai Elite i20,2016,80528,PETROL,MANUAL,562000
Maruti New Wagon-R,2021,33513,PETROL,AUTOMATIC,661000
Tata NEXON XZ,2021,33905,PETROL,MANUAL,936000
Maruti Baleno ZETA,2017,80312,PETROL,MANUAL,526000
Hyundai Grand i10,2019,25709,PETROL,MANUAL,588000
Tata NEXON XM,2019,68574,DIESEL,MANUAL,629000
Mahindra XUV300 W6,2022,16432,PETROL,AUTOMATIC,1017000
Maruti S PRESSO,2021,9285,PETROL,MANUAL,442000
Maruti Ciaz ALPHA,2017,43537,PETROL,MANUAL,695000
Tata NEXON XM,2023,18020,PETROL,MANUAL,955000
Datsun Redi Go,2019,49573,PETROL,MANUAL,233000
Hyundai Elite i20,2018,40288,PETROL,MANUAL,569000
Renault Kwid RXT,2017,79094,PETROL,MANUAL,206000
Renault Kwid RXT,2020,38494,PETROL,AUTOMATIC,547000
Hyundai Verna SX,2020,38431,PETROL,MANUAL,969000
Honda WR-V 1.2L,2021,25061,PETROL,MANUAL,869000
Maruti Baleno DELTA,2021,30880,PETROL,MANUAL,705000
Maruti Celerio VXI,2018,71263,CNG,MANUAL,436000
Renault Kwid RXT,2019,23998,PETROL,AUTOMATIC,554000
Maruti Dzire VXI,2020,14676,PETROL,MANUAL,651000
Maruti Baleno DELTA,2018,40667,PETROL,AUTOMATIC,528000
Maruti Alto VXI,2020,35457,PETROL,MANUAL,361000
Hyundai i10 SPORTZ,2012,86618,PETROL,AUTOMATIC,294000
Mahindra XUV300 W8,2022,11682,PETROL,AUTOMATIC,1275000
Hyundai Grand i10,2015,45766,PETROL,MANUAL,483000
Maruti S PRESSO,2019,8458,PETROL,MANUAL,454000
Honda City 1.5L,2012,57242,PETROL,MANUAL,499000
Tata NEXON XE,2023,390,PETROL,MANUAL,803999
Ford Ecosport TREND,2016,49772,PETROL,MANUAL,637000
Renault Kwid RXT,2016,29245,PETROL,MANUAL,303000
Hyundai Grand i10,2015,26690,PETROL,MANUAL,335000
Hyundai GRAND I10,2019,29932,PETROL,MANUAL,542000
Hyundai Creta SX,2016,20999,PETROL,MANUAL,791000
Toyota URBAN CRUISER,2022,30938,PETROL,AUTOMATIC,1141000
Maruti Ciaz VXI+,2015,95738,PETROL,MANUAL,543000
Ford Ecosport TREND,2017,109433,DIESEL,MANUAL,424000
Renault Kwid RXT,2018,58886,PETROL,MANUAL,366000
Hyundai Grand i10,2015,81714,PETROL,MANUAL,475000
Tata NEXON XZ,2022,18598,PETROL,MANUAL,975000
Maruti New Wagon-R,2019,37678,PETROL,MANUAL,509999
Maruti Swift Dzire,2011,110407,DIESEL,MANUAL,377000
Volkswagen Ameo COMFORTLINE,2019,34651,PETROL,MANUAL,572000
Hyundai VENUE SX,2020,51652,PETROL,MANUAL,938000
Maruti Swift Dzire,2021,53523,CNG,MANUAL,650000
Maruti New Wagon-R,2020,66530,PETROL,MANUAL,571000
Renault Duster RXZ,2021,18262,PETROL,MANUAL,977000
Maruti Baleno ZETA,2020,56966,PETROL,MANUAL,679000
Maruti Wagon R,2015,55695,PETROL,MANUAL,310000
Hyundai Creta E,2017,60310,PETROL,MANUAL,748000
Maruti Swift Dzire,2014,11144,DIESEL,MANUAL,613000
Maruti Vitara Brezza,2021,11156,PETROL,MANUAL,835000
Maruti Swift VXI,2022,21961,PETROL,MANUAL,705000
MG HECTOR SHARP,2019,49559,DIESEL,MANUAL,1491000
Tata ALTROZ XM,2022,9456,PETROL,MANUAL,702000
Maruti Alto VXI,2022,34574,PETROL,MANUAL,404000
Skoda Rapid ACTIVE,2020,35850,PETROL,MANUAL,730000
Mahindra Bolero B6,2022,16828,DIESEL,MANUAL,986000
Tata NEXON XM,2019,39356,PETROL,MANUAL,577000
Tata Tiago XZA,2023,7563,PETROL,AUTOMATIC,781000
Tata NEXON XZ,2022,42490,PETROL,MANUAL,1025000
Maruti IGNIS DELTA,2022,18015,PETROL,MANUAL,572000
Tata NEXON XZA,2019,57761,PETROL,AUTOMATIC,834000
Hyundai Grand i10,2014,19375,PETROL,AUTOMATIC,436000
Hyundai Elite i20,2017,37589,PETROL,MANUAL,635000
Datsun Redi Go,2017,39256,PETROL,MANUAL,225999
Maruti S PRESSO,2019,18369,PETROL,MANUAL,409000
Volkswagen Ameo COMFORTLINE,2019,54390,PETROL,MANUAL,616000
Honda Jazz 1.2L,2021,22605,PETROL,AUTOMATIC,842000
Hyundai Elite i20,2019,32047,PETROL,MANUAL,711000
Maruti Baleno ZETA,2017,22396,PETROL,MANUAL,714000
Renault TRIBER RXZ,2020,28737,PETROL,MANUAL,689000
Maruti Baleno DELTA,2016,93616,PETROL,MANUAL,500000
Honda WR-V 1.2L,2018,59897,PETROL,MANUAL,711000
Hyundai i20 SPORTZ,2011,77379,PETROL,MANUAL,206999
Maruti Alto K10,2016,43158,PETROL,AUTOMATIC,331000
Maruti Baleno DELTA,2016,57359,DIESEL,MANUAL,518000
Renault TRIBER RXZ,2021,19260,PETROL,MANUAL,709000
Tata PUNCH CREATIVE,2022,13829,PETROL,MANUAL,816000
Maruti Swift VDI,2018,95048,DIESEL,AUTOMATIC,608000
Volkswagen Vento HIGHLINE,2015,91514,PETROL,AUTOMATIC,564000
Tata Harrier XZA,2021,47873,DIESEL,AUTOMATIC,1712000
Renault Kwid RXT,2017,70817,PETROL,MANUAL,359000
Renault Kwid RXT,2019,11581,PETROL,AUTOMATIC,471000
Maruti Baleno DELTA,2018,26674,PETROL,MANUAL,576000
Maruti Swift ZXI,2017,85409,PETROL,MANUAL,595000
Tata NEXON XMA,2019,74844,PETROL,AUTOMATIC,788000
KIA SONET HTK,2020,67883,DIESEL,MANUAL,915000
Maruti Celerio VXI,2014,44064,PETROL,AUTOMATIC,392000
Tata Tiago XZ,2020,66943,PETROL,MANUAL,559000
Maruti S PRESSO,2022,12690,PETROL,MANUAL,511000
Honda Jazz 1.2L,2015,60512,PETROL,MANUAL,468000
Hyundai NEW SANTRO,2020,48844,PETROL,AUTOMATIC,634000
Renault Kwid RXL,2017,20303,PETROL,MANUAL,376000
Honda Jazz 1.2L,2018,49272,PETROL,MANUAL,632000
Maruti Alto K10,2022,10514,PETROL,MANUAL,470000
Hyundai Grand i10,2015,28349,PETROL,MANUAL,472000
Maruti Wagon R,2014,83278,CNG,MANUAL,332000
Hyundai VENUE S(O),2022,10208,PETROL,MANUAL,949000
Maruti Alto LXI,2019,26125,PETROL,MANUAL,367000
Maruti Wagon R,2017,71842,PETROL,AUTOMATIC,405999
Renault TRIBER RXZ,2022,24245,PETROL,MANUAL,787000
Maruti S PRESSO,2022,21688,PETROL,MANUAL,480999
Maruti Ciaz ALPHA,2021,28610,PETROL,MANUAL,916000
Hyundai NEW SANTRO,2018,99508,CNG,MANUAL,391000
Maruti Swift Dzire,2011,61266,PETROL,MANUAL,369000
Maruti Alto K10,2019,49670,PETROL,MANUAL,370000
Maruti Wagon R,2012,50372,PETROL,MANUAL,304000
Hyundai Elite i20,2018,56065,PETROL,MANUAL,688000
Maruti Baleno ZETA,2021,21886,PETROL,AUTOMATIC,807000
Maruti Dzire VXI,2023,14404,PETROL,MANUAL,728000
Skoda SLAVIA ACTIVE,2023,15168,PETROL,MANUAL,1130000
Volkswagen VIRTUS HIGHLINE,2022,9822,PETROL,MANUAL,1182000
Toyota Innova Crysta,2022,6489,PETROL,MANUAL,2069000
Maruti Baleno DELTA,2021,32596,PETROL,AUTOMATIC,751000
Maruti New Wagon-R,2022,40473,CNG,MANUAL,607000
Hyundai Creta SX,2017,75759,PETROL,AUTOMATIC,1022000
Volkswagen Polo HIGHLINE,2021,44131,PETROL,MANUAL,846000
Renault Kwid CLIMBER,2017,47456,PETROL,AUTOMATIC,412000
Maruti Baleno DELTA,2021,39880,PETROL,MANUAL,677000
Tata PUNCH CREATIVE,2023,4148,PETROL,MANUAL,864000
Hyundai i20 ASTA,2013,53463,PETROL,MANUAL,459000
Maruti Celerio ZXI,2020,36134,PETROL,MANUAL,546000
Maruti Swift VXI,2012,64557,PETROL,MANUAL,463000
Maruti S PRESSO,2022,11295,PETROL,MANUAL,551000
Maruti Ciaz DELTA,2019,54408,PETROL,AUTOMATIC,695000
Volkswagen Polo HIGHLINE1.2L,2014,53792,PETROL,MANUAL,367000
Jeep Compass LONGITUDE,2018,63398,DIESEL,MANUAL,1524000
Maruti Baleno ZETA,2022,42038,PETROL,MANUAL,817000
Maruti Celerio VXI,2022,10118,PETROL,MANUAL,561000
Hyundai Creta SX,2016,83626,PETROL,AUTOMATIC,853999
Maruti Celerio VXI,2018,69515,PETROL,MANUAL,459000
Maruti S PRESSO,2019,73084,PETROL,MANUAL,398000
Hyundai Grand i10,2016,114786,PETROL,MANUAL,412000
Honda City V,2014,77676,CNG,MANUAL,490000
Ford Ecosport TITANIUM,2018,57224,PETROL,AUTOMATIC,840000
Maruti Baleno ALPHA,2017,99026,PETROL,MANUAL,556000
Nissan MAGNITE XE,2022,24951,PETROL,MANUAL,575000
Tata Tiago XZA,2018,60237,PETROL,AUTOMATIC,459000
Hyundai Grand i10,2017,38401,PETROL,MANUAL,567000
Renault Kwid RXT,2019,16684,PETROL,AUTOMATIC,409999
Hyundai Grand i10,2018,54875,PETROL,MANUAL,484999
Maruti Baleno DELTA,2017,35241,PETROL,MANUAL,622000
Maruti Dzire VXI,2017,15103,PETROL,MANUAL,654000
Maruti Dzire ZXI,2020,51537,PETROL,MANUAL,667000
Honda Amaze 1.2L,2021,13420,PETROL,AUTOMATIC,881000
Maruti S PRESSO,2021,47006,PETROL,MANUAL,448000
Maruti Swift VXI,2015,66341,PETROL,MANUAL,559000
Maruti Celerio VXI,2014,47102,PETROL,AUTOMATIC,398000
Maruti Ciaz ALPHA,2019,66269,PETROL,AUTOMATIC,732000
Maruti Alto VXI,2022,8261,PETROL,MANUAL,438999
Hyundai Xcent S,2015,84386,CNG,MANUAL,334000
Hyundai Grand i10,2015,41625,PETROL,AUTOMATIC,531000
Hyundai Grand i10,2017,109662,CNG,MANUAL,451000
Maruti Alto K10,2014,36066,PETROL,MANUAL,281000
Hyundai Grand i10,2018,15057,PETROL,MANUAL,579000
Maruti Swift Dzire,2015,43488,PETROL,MANUAL,466000
Maruti Eeco 5,2019,35833,PETROL,MANUAL,443000
Maruti Alto K10,2022,25131,CNG,MANUAL,543000
Maruti Swift Dzire,2013,73474,PETROL,MANUAL,371000
Maruti Alto K10,2023,6675,PETROL,AUTOMATIC,658000
Hyundai Grand i10,2017,40354,PETROL,MANUAL,559000
Maruti Ciaz ALPHA,2019,55501,PETROL,MANUAL,803999
Hyundai Grand i10,2017,96921,PETROL,AUTOMATIC,551000
Maruti IGNIS ZETA,2017,58700,CNG,AUTOMATIC,498000
Toyota Innova 2.5,2015,120649,DIESEL,MANUAL,938000
Maruti Wagon R,2012,44383,PETROL,MANUAL,294000
Maruti Celerio VXI,2014,76296,PETROL,AUTOMATIC,330000
Maruti IGNIS ZETA,2017,22456,PETROL,AUTOMATIC,612000
Maruti Baleno DELTA,2016,14045,PETROL,MANUAL,533000
Renault Kwid RXT,2016,46732,PETROL,MANUAL,284000
Tata NEXON XZA,2022,13619,PETROL,AUTOMATIC,1329000
Tata TIGOR XZ,2020,45162,PETROL,MANUAL,715000
Hyundai VENUE SX,2022,22171,PETROL,MANUAL,1073000
Ford Ecosport TITANIUM,2018,80829,PETROL,AUTOMATIC,767000
Mahindra XUV500 W10,2017,57449,DIESEL,AUTOMATIC,1174000
KIA SELTOS HTE,2022,36166,DIESEL,MANUAL,1161000
Hyundai Grand i10,2015,35166,PETROL,MANUAL,476000
Maruti Alto LXI,2019,59040,PETROL,MANUAL,351000
Tata NEXON XM,2022,7895,PETROL,MANUAL,850000
Maruti S PRESSO,2021,31209,PETROL,MANUAL,504000
Hyundai Elite i20,2020,28435,PETROL,MANUAL,718000
Maruti Baleno ZETA,2016,29641,PETROL,MANUAL,695000
Maruti Swift VXI,2018,13881,PETROL,AUTOMATIC,539000
Maruti Ertiga ZDI,2017,99767,DIESEL,MANUAL,733000
Maruti Alto LXI,2019,37682,PETROL,MANUAL,372000
Honda City 1.5L,2019,54705,PETROL,AUTOMATIC,958000
Maruti Wagon R,2014,43998,PETROL,MANUAL,355000
Tata NEXON XMA,2022,26596,DIESEL,AUTOMATIC,1072000
KIA SELTOS HTX,2021,43984,PETROL,MANUAL,1243000
Mahindra XUV500 W8,2014,108937,DIESEL,MANUAL,484000
Maruti Swift VXI,2013,79637,PETROL,MANUAL,360000
Hyundai Grand i10,2017,76899,PETROL,AUTOMATIC,565000
Hyundai Santro Xing,2010,55293,PETROL,MANUAL,134000
Maruti IGNIS ZETA,2017,65114,PETROL,MANUAL,554000
Volkswagen Vento COMFORTLINE,2016,75628,DIESEL,AUTOMATIC,503000
Maruti Swift VXI,2013,46822,PETROL,MANUAL,317000
Maruti Baleno ZETA,2016,46564,PETROL,MANUAL,525000
Honda Jazz 1.2L,2020,34815,PETROL,MANUAL,805000
Tata NEXON XZ,2022,27385,PETROL,MANUAL,896000
Hyundai Creta S,2015,77283,DIESEL,MANUAL,614000
Ford Ecosport TITANIUM,2017,47695,PETROL,AUTOMATIC,754000
Tata PUNCH CREATIVE,2023,14518,PETROL,MANUAL,969999
Ford Ecosport TITANIUM,2016,41949,PETROL,AUTOMATIC,629000
Maruti Baleno DELTA,2016,56956,PETROL,MANUAL,639000
Hyundai AURA S,2020,49378,CNG,MANUAL,695000
Hyundai Grand i10,2017,21635,PETROL,MANUAL,476000
Maruti Alto LXI,2023,6504,PETROL,MANUAL,416000
Maruti Vitara Brezza,2021,34127,PETROL,MANUAL,706000
Honda Amaze 1.5L,2018,116404,DIESEL,MANUAL,397000
Hyundai Grand i10,2018,42364,PETROL,AUTOMATIC,645000
Honda City 1.5L,2017,39871,PETROL,MANUAL,839000
Maruti Ciaz ALPHA,2021,33706,PETROL,AUTOMATIC,1006000
Mahindra XUV500 W4,2015,84719,DIESEL,MANUAL,612000
Tata NEXON XZ,2021,32265,DIESEL,MANUAL,1051000
Maruti New Wagon-R,2021,36188,CNG,MANUAL,635000
Renault Duster 85,2014,73314,DIESEL,MANUAL,640000
Maruti IGNIS DELTA,2017,85064,PETROL,MANUAL,519000
Maruti Wagon R,2016,57902,PETROL,MANUAL,319000
Maruti New Wagon-R,2022,8524,PETROL,MANUAL,697000
Maruti Dzire VXI,2018,40216,PETROL,MANUAL,571000
Renault TRIBER RXZ,2022,30508,PETROL,MANUAL,796000
Hyundai Grand i10,2015,72833,PETROL,MANUAL,350000
Maruti Vitara Brezza,2016,58038,DIESEL,MANUAL,813000
Hyundai Elite i20,2017,23793,PETROL,MANUAL,734000
Maruti Wagon R,2011,92875,PETROL,MANUAL,337000
Tata PUNCH PURE,2022,14927,PETROL,MANUAL,568000
Maruti Alto VXI,2023,11732,PETROL,MANUAL,432000
Maruti Celerio VXI,2014,76408,PETROL,AUTOMATIC,344000
Renault Kwid RXT,2018,55965,PETROL,AUTOMATIC,362000
Hyundai Verna 1.6,2019,61785,PETROL,MANUAL,832000
Tata Tiago XT,2023,11522,CNG,MANUAL,720000
Maruti Swift Dzire,2015,86420,DIESEL,MANUAL,476999
MG HECTOR SHARP,2022,14715,PETROL,AUTOMATIC,1599000
Volkswagen Vento HIGHLINE,2016,76481,DIESEL,AUTOMATIC,630000
Maruti Swift VXI,2021,16048,PETROL,MANUAL,715000
Maruti Alto LXI,2022,21337,PETROL,MANUAL,403000
Volkswagen Vento HIGHLINE,2015,98990,PETROL,MANUAL,524000
Maruti IGNIS ZETA,2018,27189,PETROL,AUTOMATIC,553000
Hyundai Grand i10,2016,26511,PETROL,AUTOMATIC,492000
Nissan MAGNITE XV,2021,9840,PETROL,MANUAL,824000
