Car_name,Year,Distance,Fuel_type,Drive,Price
Honda City 1.5L,2014,52671,PETROL,MANUAL,457000
Hyundai Xcent S,2015,49616,PETROL,MANUAL,415000
Volkswagen Polo TRENDLINE,2021,29565,PETROL,MANUAL,547000
Maruti Celerio ZXI,2019,74146,PETROL,AUTOMATIC,462000
Renault Kwid RXT,2020,24397,PETROL,AUTOMATIC,483000
Maruti IGNIS ALPHA,2022,3545,PETROL,MANUAL,651000
Hyundai VENUE SX,2020,30959,PETROL,AUTOMATIC,838000
Tata Tiago XT,2016,52174,PETROL,MANUAL,399000
Maruti Celerio VXI,2019,36411,PETROL,AUTOMATIC,512000
Maruti Ertiga ZDI,2017,40892,DIESEL,MANUAL,884000
Honda City 1.5L,2012,56646,PETROL,MANUAL,394000
Nissan MAGNITE XV,2022,13759,PETROL,AUTOMATIC,927000
Renault Kwid RXT,2019,23550,PETROL,MANUAL,409999
Hyundai Grand i10,2014,52129,PETROL,AUTOMATIC,391000
Mahindra Thar LX,2021,52389,PETROL,AUTOMATIC,1339000
Maruti Alto 800,2018,16914,PETROL,MANUAL,328000
Honda Brio VX,2015,56115,PETROL,AUTOMATIC,447000
Maruti Wagon R,2018,41068,PETROL,MANUAL,348000
Hyundai Grand i10,2015,33933,PETROL,MANUAL,393000
Tata ALTROZ XZ,2020,12191,PETROL,MANUAL,713000
Hyundai NEW SANTRO,2019,11939,PETROL,AUTOMATIC,578000
Maruti Alto K10,2012,88786,PETROL,MANUAL,225999
Ford Ecosport TITANIUM,2018,50402,PETROL,AUTOMATIC,766000
Maruti S PRESSO,2021,7319,PETROL,MANUAL,466000
Mahindra XUV500 W6,2016,69972,DIESEL,MANUAL,880000
Maruti Swift VXI,2015,65318,PETROL,MANUAL,421000
Hyundai Grand i10,2015,72907,PETROL,MANUAL,449000
Tata Tiago XZ,2022,35945,CNG,MANUAL,698000
Mahindra XUV500 W9,2019,59793,DIESEL,MANUAL,961000
Ford Ecosport TITANIUM,2019,33140,PETROL,MANUAL,766000
Tata Harrier XZ,2022,23558,DIESEL,MANUAL,2047000
Tata Tiago XZ,2019,23141,PETROL,MANUAL,530000
Renault Duster 110,2013,122814,DIESEL,MANUAL,352000
Maruti Vitara Brezza,2021,18327,PETROL,AUTOMATIC,947000
Honda City 1.5L,2015,79657,PETROL,MANUAL,499000
Hyundai VENUE SX,2019,23360,PETROL,MANUAL,923000
Maruti Ciaz VXI+,2015,56400,PETROL,MANUAL,520000
Hyundai AURA SX,2023,8329,PETROL,MANUAL,781000
Honda Amaze 1.5L,2020,46461,DIESEL,AUTOMATIC,886999
Maruti Alto VXI,2020,9516,PETROL,MANUAL,344000
Maruti Ertiga VXI,2016,63006,CNG,MANUAL,722000
Maruti S PRESSO,2023,10032,PETROL,MANUAL,519000
Nissan MAGNITE XV,2021,20810,PETROL,AUTOMATIC,808000
Renault TRIBER RXZ,2020,11889,PETROL,AUTOMATIC,652000
Maruti Swift VXI,2013,73956,PETROL,MANUAL,333000
Maruti New Wagon-R,2021,14421,PETROL,MANUAL,505999
Hyundai Creta SX,2017,55620,PETROL,AUTOMATIC,1039000
Honda City 1.5L,2017,83549,PETROL,MANUAL,607000
Renault Kwid RXT,2019,12443,PETROL,AUTOMATIC,429000
Renault Kwid RXT,2021,35046,PETROL,MANUAL,397000
Honda City 1.5L,2015,77141,PETROL,MANUAL,509999
Hyundai Creta SX,2019,44370,PETROL,AUTOMATIC,1186000
Maruti Swift VXI,2011,132749,PETROL,MANUAL,316000
Honda City 1.5L,2015,91712,DIESEL,MANUAL,498000
Honda Amaze 1.2L,2017,95120,CNG,MANUAL,468000
Hyundai Elite i20,2015,89820,PETROL,MANUAL,484000
Tata Tiago XZA,2018,112133,PETROL,AUTOMATIC,385000
Hyundai i20 SPORTZ,2014,33000,PETROL,MANUAL,389000
KIA SONET HTK,2022,18224,PETROL,MANUAL,866000
Hyundai Grand i10,2015,30934,PETROL,MANUAL,392000
Maruti Alto K10,2016,65484,PETROL,MANUAL,318000
Honda Amaze 1.2L,2019,60688,PETROL,MANUAL,552000
Hyundai Grand i10,2015,32723,PETROL,MANUAL,396000
Mahindra Kuv100 K4,2016,54428,PETROL,MANUAL,459999
Maruti Alto 800,2013,92492,CNG,MANUAL,184000
KIA SONET HTX,2022,9526,PETROL,MANUAL,1134000
Toyota Innova Crysta,2022,6489,PETROL,MANUAL,2069000
Maruti Ritz VDI,2014,92122,DIESEL,MANUAL,349000
Ford FREESTYLE TREND,2018,70609,DIESEL,MANUAL,511000
Honda Brio S,2015,111585,PETROL,MANUAL,292000
Maruti IGNIS SIGMA,2018,84196,PETROL,MANUAL,375000
Ford Ecosport TREND,2018,24732,PETROL,AUTOMATIC,719000
Honda City 1.5L,2014,110866,DIESEL,MANUAL,387000
KIA CARENS LUXURY,2022,11437,PETROL,MANUAL,1704000
Maruti Celerio ZXI,2017,41724,PETROL,AUTOMATIC,443000
Hyundai Elite i20,2017,38174,PETROL,MANUAL,543000
Honda Brio S,2014,32184,PETROL,MANUAL,385000
Honda Brio S,2012,33263,PETROL,MANUAL,319000
Tata NEXON XZA,2021,36473,PETROL,AUTOMATIC,990000
Tata TIGOR XZ,2018,71675,DIESEL,MANUAL,546000
Renault Kwid CLIMBER,2017,56393,PETROL,MANUAL,236000
Maruti Swift Dzire,2016,49757,PETROL,MANUAL,451999
Maruti Baleno DELTA,2021,49434,PETROL,MANUAL,673000
Hyundai Elite i20,2015,64424,PETROL,MANUAL,434000
Tata TIGOR XZA,2018,48115,PETROL,AUTOMATIC,494000
Hyundai Grand i10,2017,53180,PETROL,MANUAL,457000
Toyota Innova Crysta,2017,40409,DIESEL,MANUAL,1842000
Renault Kwid RXT,2022,12186,PETROL,MANUAL,434999
Hyundai i10 SPORTZ,2012,41858,PETROL,AUTOMATIC,262000
Tata TIGOR XZ,2022,23518,CNG,MANUAL,785000
Maruti Wagon R,2017,37411,PETROL,MANUAL,441000
Hyundai New Elantra,2018,55227,PETROL,MANUAL,930000
Hyundai NEW I20,2021,40974,DIESEL,MANUAL,961999
Hyundai Elite i20,2016,76800,PETROL,MANUAL,491000
Hyundai Grand i10,2016,45659,PETROL,MANUAL,472000
Hyundai Elite i20,2016,74837,DIESEL,MANUAL,625000
Mahindra XUV300 W8,2020,50172,PETROL,MANUAL,818000
Honda Amaze 1.2L,2022,10711,PETROL,MANUAL,721000
Honda City 1.5L,2020,52472,PETROL,MANUAL,969999
Renault Kwid RXT,2016,55988,PETROL,MANUAL,248000
Hyundai i10 SPORTZ,2011,56537,PETROL,MANUAL,186000
Hyundai NEW SANTRO,2019,23898,PETROL,MANUAL,488000
Hyundai Grand i10,2017,32563,PETROL,MANUAL,466000
Maruti Celerio ZXI,2018,17078,PETROL,AUTOMATIC,433000
Maruti Celerio VXI,2015,68405,PETROL,AUTOMATIC,392000
Hyundai Xcent SX,2017,33856,PETROL,MANUAL,509999
Honda City 1.5L,2012,80218,PETROL,MANUAL,316000
Maruti Wagon R,2018,62347,CNG,MANUAL,401999
Hyundai Elite i20,2017,47937,PETROL,MANUAL,601000
Honda BR-V 1.5L,2018,64547,PETROL,MANUAL,787000
Maruti Wagon R,2012,92651,PETROL,MANUAL,239000
Tata Tiago XT,2020,36142,PETROL,MANUAL,540000
Volkswagen Polo COMFORTLINE,2016,75449,PETROL,MANUAL,385000
Renault Kwid RXT,2016,37313,PETROL,MANUAL,311000
Maruti Baleno DELTA,2021,29923,PETROL,MANUAL,654000
Maruti New Wagon-R,2021,7994,PETROL,MANUAL,559000
Honda BR-V 1.5L,2019,63810,PETROL,MANUAL,765000
