,Car_name,Year,Distance,Fuel_type,Drive,Price
226,Maruti Swift Dzire,2021,53523,CNG,MANUAL,650000
227,Maruti New Wagon-R,2020,66530,PETROL,MANUAL,571000
228,Renault Duster RXZ,2021,18262,PETROL,MANUAL,977000
229,Maruti Baleno ZETA,2020,56966,PETROL,MANUAL,679000
230,Maruti Wagon R,2015,55695,PETROL,MANUAL,310000
231,Hyundai Creta E,2017,60310,PETROL,MANUAL,748000
232,Maruti Swift Dzire,2014,11144,DIESEL,MANUAL,613000
233,Maruti Vitara Brezza,2021,11156,PETROL,MANUAL,835000
234,Maruti Swift VXI,2022,21961,PETROL,MANUAL,705000
235,MG HECTOR SHARP,2019,49559,DIESEL,MANUAL,1491000
236,Tata ALTROZ XM,2022,9456,PETROL,MANUAL,702000
237,Maruti Alto VXI,2022,34574,PETROL,MANUAL,404000
238,Skoda Rapid ACTIVE,2020,35850,PETROL,MANUAL,730000
239,Mahindra Bolero B6,2022,16828,DIESEL,MANUAL,986000
240,Tata NEXON XM,2019,39356,PETROL,MANUAL,577000
241,Tata Tiago XZA,2023,7563,PETROL,AUTOMATIC,781000
242,Tata NEXON XZ,2022,42490,PETROL,MANUAL,1025000
243,Maruti IGNIS DELTA,2022,18015,PETROL,MANUAL,572000
244,Tata NEXON XZA,2019,57761,PETROL,AUTOMATIC,834000
245,Hyundai Grand i10,2014,19375,PETROL,AUTOMATIC,436000
246,Hyundai Elite i20,2017,37589,PETROL,MANUAL,635000
247,Datsun Redi Go,2017,39256,PETROL,MANUAL,225999
248,Maruti S PRESSO,2019,18369,PETROL,MANUAL,409000
249,Volkswagen Ameo COMFORTLINE,2019,54390,PETROL,MANUAL,616000
250,Honda Jazz 1.2L,2021,22605,PETROL,AUTOMATIC,842000
251,Hyundai Elite i20,2019,32047,PETROL,MANUAL,711000
252,Maruti Baleno ZETA,2017,22396,PETROL,MANUAL,714000
253,Renault TRIBER RXZ,2020,28737,PETROL,MANUAL,689000
254,Maruti Baleno DELTA,2016,93616,PETROL,MANUAL,500000
255,Honda WR-V 1.2L,2018,59897,PETROL,MANUAL,711000
256,Hyundai i20 SPORTZ,2011,77379,PETROL,MANUAL,206999
257,Maruti Alto K10,2016,43158,PETROL,AUTOMATIC,331000
258,Maruti Baleno DELTA,2016,57359,DIESEL,MANUAL,518000
259,Renault TRIBER RXZ,2021,19260,PETROL,MANUAL,709000
260,Tata PUNCH CREATIVE,2022,13829,PETROL,MANUAL,816000
261,Maruti Swift VDI,2018,95048,DIESEL,AUTOMATIC,608000
262,Volkswagen Vento HIGHLINE,2015,91514,PETROL,AUTOMATIC,564000
263,Tata Harrier XZA,2021,47873,DIESEL,AUTOMATIC,1712000
264,Renault Kwid RXT,2017,70817,PETROL,MANUAL,359000
265,Renault Kwid RXT,2019,11581,PETROL,AUTOMATIC,471000
266,Maruti Baleno DELTA,2018,26674,PETROL,MANUAL,576000
267,Maruti Swift ZXI,2017,85409,PETROL,MANUAL,595000
268,Tata NEXON XMA,2019,74844,PETROL,AUTOMATIC,788000
269,KIA SONET HTK,2020,67883,DIESEL,MANUAL,915000
270,Maruti Celerio VXI,2014,44064,PETROL,AUTOMATIC,392000
271,Tata Tiago XZ,2020,66943,PETROL,MANUAL,559000
272,Maruti S PRESSO,2022,12690,PETROL,MANUAL,511000
273,Honda Jazz 1.2L,2015,60512,PETROL,MANUAL,468000
274,Hyundai NEW SANTRO,2020,48844,PETROL,AUTOMATIC,634000
275,Renault Kwid RXL,2017,20303,PETROL,MANUAL,376000
276,Honda Jazz 1.2L,2018,49272,PETROL,MANUAL,632000
277,Maruti Alto K10,2022,10514,PETROL,MANUAL,470000
278,Hyundai Grand i10,2015,28349,PETROL,MANUAL,472000
279,Maruti Wagon R,2014,83278,CNG,MANUAL,332000
280,Hyundai VENUE S(O),2022,10208,PETROL,MANUAL,949000
281,Maruti Alto LXI,2019,26125,PETROL,MANUAL,367000
282,Maruti Wagon R,2017,71842,PETROL,AUTOMATIC,405999
283,Renault TRIBER RXZ,2022,24245,PETROL,MANUAL,787000
284,Maruti S PRESSO,2022,21688,PETROL,MANUAL,480999
285,Maruti Ciaz ALPHA,2021,28610,PETROL,MANUAL,916000
286,Hyundai NEW SANTRO,2018,99508,CNG,MANUAL,391000
287,Maruti Swift Dzire,2011,61266,PETROL,MANUAL,369000
288,Maruti Alto K10,2019,49670,PETROL,MANUAL,370000
289,Maruti Wagon R,2012,50372,PETROL,MANUAL,304000
290,Hyundai Elite i20,2018,56065,PETROL,MANUAL,688000
291,Maruti Baleno ZETA,2021,21886,PETROL,AUTOMATIC,807000
292,Maruti Dzire VXI,2023,14404,PETROL,MANUAL,728000
293,Skoda SLAVIA ACTIVE,2023,15168,PETROL,MANUAL,1130000
294,Volkswagen VIRTUS HIGHLINE,2022,9822,PETROL,MANUAL,1182000
295,Toyota Innova Crysta,2022,6489,PETROL,MANUAL,2069000
296,Maruti Baleno DELTA,2021,32596,PETROL,AUTOMATIC,751000
297,Maruti New Wagon-R,2022,40473,CNG,MANUAL,607000
298,Hyundai Creta SX,2017,75759,PETROL,AUTOMATIC,1022000
299,Volkswagen Polo HIGHLINE,2021,44131,PETROL,MANUAL,846000
300,Renault Kwid CLIMBER,2017,47456,PETROL,AUTOMATIC,412000
301,Maruti Baleno DELTA,2021,39880,PETROL,MANUAL,677000
302,Tata PUNCH CREATIVE,2023,4148,PETROL,MANUAL,864000
303,Hyundai i20 ASTA,2013,53463,PETROL,MANUAL,459000
304,Maruti Celerio ZXI,2020,36134,PETROL,MANUAL,546000
305,Maruti Swift VXI,2012,64557,PETROL,MANUAL,463000
306,Maruti S PRESSO,2022,11295,PETROL,MANUAL,551000
307,Maruti Ciaz DELTA,2019,54408,PETROL,AUTOMATIC,695000
308,Volkswagen Polo HIGHLINE1.2L,2014,53792,PETROL,MANUAL,367000
309,Jeep Compass LONGITUDE,2018,63398,DIESEL,MANUAL,1524000
310,Maruti Baleno ZETA,2022,42038,PETROL,MANUAL,817000
311,Maruti Celerio VXI,2022,10118,PETROL,MANUAL,561000
312,Hyundai Creta SX,2016,83626,PETROL,AUTOMATIC,853999
